Area,1,2,3,4,5,6,7,8,9,10,11,12,13
area_0,100,0,0,0,0,0,0,0,0,0,0,0,0
area_1,2,15,83,0,0,0,0,0,0,0,0,0,0
area_10,0,0,0,0,21,0,0,0,0,4,0,0,0
area_11,0,0,0,1,29,0,0,0,0,0,0,0,0
area_12,0,0,0,25,0,0,0,0,0,0,0,0,0
area_2,0,0,2,0,0,0,0,0,0,0,98,0,0
area_3,0,0,0,0,0,0,0,61,0,35,4,0,0
area_4,0,0,0,0,0,36,60,0,0,4,0,0,0
area_5,0,0,0,0,0,0,4,0,27,69,0,0,0
area_6,0,0,0,0,0,0,0,0,0,9,0,23,68
area_7,17,51,0,0,0,0,0,0,0,0,2,0,30
area_8,0,2,0,0,21,0,0,0,0,0,2,0,0
area_9,0,4,0,0,20,0,0,0,0,1,0,0,0
