Area,1,2,3,4,5,6,7,8,9,10,11,12,13
area_0,0,100,0,0,0,0,0,0,0,0,0,0,0
area_1,0,2,98,0,0,0,0,0,0,0,0,0,0
area_10,0,0,0,0,0,0,0,0,0,0,0,22,3
area_11,0,0,0,0,0,0,0,0,0,0,0,0,30
area_12,0,0,0,0,0,0,0,0,0,0,25,0,0
area_2,0,0,2,0,0,0,0,98,0,0,0,0,0
area_3,0,0,0,0,0,0,100,0,0,0,0,0,0
area_4,0,0,0,100,0,0,0,0,0,0,0,0,0
area_5,0,0,0,0,0,100,0,0,0,0,0,0,0
area_6,0,0,0,0,100,0,0,0,0,0,0,0,0
area_7,100,0,0,0,0,0,0,0,0,0,0,0,0
area_8,0,0,0,0,0,0,0,0,0,25,0,0,0
area_9,0,0,0,0,0,0,0,0,23,2,0,0,0
