Area,0,1,2,3,4,5,6,7,8,9,10,11,12
area_0,0,0,100,0,0,0,0,0,0,0,0,0,0
area_1,0,0,2,0,0,0,0,73,0,0,0,25,0
area_10,0,0,0,0,0,0,23,0,0,0,0,2,0
area_11,0,0,0,0,0,0,9,0,0,21,0,0,0
area_12,0,0,0,10,0,0,0,0,0,15,0,0,0
area_2,15,0,0,0,0,0,0,0,0,0,73,2,10
area_3,75,0,0,0,0,0,0,0,24,0,1,0,0
area_4,0,96,0,0,0,2,0,0,2,0,0,0,0
area_5,0,2,0,0,0,62,0,0,34,2,0,0,0
area_6,0,0,0,0,0,2,0,0,0,0,12,0,86
area_7,0,0,0,0,65,0,0,0,0,0,0,33,2
area_8,0,0,0,21,0,0,0,0,0,0,0,4,0
area_9,0,0,0,5,0,0,12,0,0,0,0,8,0
